Counter(190,230).Out	R	RAM(570,330)[1]
0000	0000 0000	0000 0000
0001	0000 0101	0000 0000
0010	0111 0101	0000 0000
0010	0111 0101	0111 0101
0011	0111 0101	0111 0101
0100	0111 0001	0111 0101
0101	0100 0001	0111 0101
0110	0111 0101	0111 0101
0111	0111 0101	0111 0101
1000	0111 0101	0111 0101
1001	0111 0101	0111 0101
1010	0111 0101	0111 0101
1011	0111 0101	0111 0101
1100	0111 0101	0111 0101
1101	0111 0101	0111 0101
1110	0111 0101	0111 0101
1111	0111 0101	0111 0101
1111	0111 0101	0000 0000
Counter(190,230).Out	R	RAM(570,330)[0]	RAM(570,330)[3]	RAM(570,330)[4]
0000	0000 0000	0000 0000	0000 0000	0000 0000
0001	0000 1100	0000 0000	0000 0000	0000 0000
0010	1101 1100	0000 0000	0000 0000	0000 0000
0010	1101 1100	1101 1100	0000 0000	0000 0000
0011	1101 1100	1101 1100	0000 0000	0000 0000
0011	1101 1100	1101 1100	1101 1100	0000 0000
0100	1101 1100	1101 1100	1101 1100	0000 0000
0101	1101 0001	1101 1100	1101 1100	0000 0000
0110	0001 0001	1101 1100	1101 1100	0000 0000
0111	1101 1100	1101 1100	1101 1100	0000 0000
0111	1101 1100	1101 1100	1101 1100	1101 1100
1000	1101 1100	1101 1100	1101 1100	1101 1100
1001	1101 1100	1101 1100	1101 1100	1101 1100
1010	1101 1100	1101 1100	1101 1100	1101 1100
1011	1101 1100	1101 1100	1101 1100	1101 1100
1100	1101 1100	1101 1100	1101 1100	1101 1100
1101	1101 1100	1101 1100	1101 1100	1101 1100
1110	1101 1100	1101 1100	1101 1100	1101 1100
1111	1101 1100	1101 1100	1101 1100	1101 1100
